dataset,column,dtype,null_count,null_pct,cardinality
listings,id,int64,0,0.0,30259
listings,listing_url,str,0,0.0,30259
listings,scrape_id,int64,0,0.0,1
listings,last_scraped,str,0,0.0,4
listings,source,str,0,0.0,2
listings,name,str,1,0.003304801877127466,28835
listings,description,str,902,2.9809312931689744,24173
listings,neighborhood_overview,float64,30259,100.0,0
listings,picture_url,str,0,0.0,29608
listings,host_id,int64,0,0.0,16474
listings,host_url,str,0,0.0,16474
listings,host_profile_id,float64,349,1.1533758551174857,16385
listings,host_profile_url,str,349,1.1533758551174857,16386
listings,host_name,str,349,1.1533758551174857,7001
listings,host_since,float64,30259,100.0,0
listings,hosts_time_as_user_years,float64,349,1.1533758551174857,18
listings,hosts_time_as_user_months,float64,349,1.1533758551174857,12
listings,hosts_time_as_host_years,float64,349,1.1533758551174857,16
listings,hosts_time_as_host_months,float64,349,1.1533758551174857,12
listings,host_location,str,7162,23.66899104398691,713
listings,host_about,str,12410,41.01259129515186,9242
listings,host_response_time,float64,30259,100.0,0
listings,host_response_rate,float64,30259,100.0,0
listings,host_acceptance_rate,float64,30259,100.0,0
listings,host_is_superhost,str,349,1.1533758551174857,2
listings,host_thumbnail_url,float64,30259,100.0,0
listings,host_picture_url,str,349,1.1533758551174857,15949
listings,host_neighbourhood,float64,30259,100.0,0
listings,host_listings_count,float64,349,1.1533758551174857,132
listings,host_total_listings_count,float64,30259,100.0,0
listings,host_verifications,float64,30259,100.0,0
listings,host_has_profile_pic,str,349,1.1533758551174857,2
listings,host_identity_verified,str,349,1.1533758551174857,2
listings,neighbourhood,float64,30259,100.0,0
listings,neighbourhood_cleansed,str,0,0.0,223
listings,neighbourhood_group_cleansed,str,0,0.0,5
listings,latitude,float64,0,0.0,20100
listings,longitude,float64,0,0.0,18697
listings,property_type,str,0,0.0,69
listings,room_type,str,0,0.0,4
listings,accommodates,int64,0,0.0,16
listings,bathrooms,float64,10112,33.41815658151294,19
listings,bathrooms_text,str,159,0.5254634984632671,33
listings,bedrooms,float64,10973,36.26359099771969,16
listings,beds,float64,9420,31.13123368254073,20
listings,amenities,str,0,0.0,25118
listings,price,str,8744,28.897187613602565,11417
listings,price_quote_checkin_date,str,7581,25.05370303050332,334
listings,price_quote_checkout_date,str,7581,25.05370303050332,357
listings,price_quote_total_price,float64,8745,28.90049241547969,12475
listings,price_quote_price_per_night,float64,8745,28.90049241547969,11417
listings,price_quote_raw,str,7581,25.05370303050332,19766
listings,minimum_nights,float64,2,0.006609603754254932,86
listings,maximum_nights,float64,2,0.006609603754254932,231
listings,minimum_minimum_nights,float64,2,0.006609603754254932,86
listings,maximum_minimum_nights,float64,2,0.006609603754254932,118
listings,minimum_maximum_nights,float64,2,0.006609603754254932,225
listings,maximum_maximum_nights,float64,2,0.006609603754254932,231
listings,minimum_nights_avg_ntm,float64,0,0.0,349
listings,maximum_nights_avg_ntm,float64,0,0.0,871
listings,calendar_updated,float64,30259,100.0,0
listings,has_availability,str,347,1.1467662513632308,2
listings,availability_30,int64,0,0.0,31
listings,availability_60,int64,0,0.0,61
listings,availability_90,int64,0,0.0,91
listings,availability_365,int64,0,0.0,366
listings,calendar_last_scraped,str,0,0.0,4
listings,number_of_reviews,int64,0,0.0,528
listings,number_of_reviews_ltm,int64,0,0.0,163
listings,number_of_reviews_l30d,int64,0,0.0,38
listings,availability_eoy,int64,0,0.0,202
listings,number_of_reviews_ly,int64,0,0.0,164
listings,estimated_occupancy_l365d,int64,0,0.0,50
listings,estimated_revenue_l365d,float64,8744,28.897187613602565,7417
listings,first_review,str,8559,28.28579926633398,4595
listings,last_review,str,8559,28.28579926633398,3268
listings,review_scores_rating,float64,8559,28.28579926633398,155
listings,review_scores_accuracy,float64,8565,28.30562807759675,152
listings,review_scores_cleanliness,float64,8559,28.28579926633398,175
listings,review_scores_checkin,float64,8567,28.312237681351004,129
listings,review_scores_communication,float64,8562,28.295713671965366,144
listings,review_scores_location,float64,8568,28.31554248322813,146
listings,review_scores_value,float64,8568,28.31554248322813,166
listings,license,str,24973,82.53081727750421,2019
listings,instant_bookable,float64,30259,100.0,0
listings,calculated_host_listings_count,int64,0,0.0,70
listings,calculated_host_listings_count_entire_homes,int64,0,0.0,52
listings,calculated_host_listings_count_private_rooms,int64,0,0.0,40
listings,calculated_host_listings_count_shared_rooms,int64,0,0.0,10
listings,reviews_per_month,float64,8559,28.28579926633398,767
calendar,listing_id,int64,0,0.0,30555
calendar,date,str,0,0.0,374
calendar,available,str,0,0.0,2
calendar,minimum_nights,int64,0,0.0,141
calendar,maximum_nights,int64,0,0.0,296
reviews,listing_id,int64,0,0.0,21939
reviews,id,int64,0,0.0,990170
reviews,date,str,0,0.0,5833
reviews,reviewer_id,int64,0,0.0,870793
reviews,reviewer_name,str,3,0.000302978276457578,125280
reviews,comments,str,272,0.027470030398820403,948851
neighbourhoods,neighbourhood_group,str,0,0.0,5
neighbourhoods,neighbourhood,str,0,0.0,230
