host_id,listings_count,avg_price,avg_rating,superhost_ratio,cluster_id
1678,1,160.11,4.91,1.0,1
2438,1,174.69,4.86,0.0,0
2571,1,134.22,4.88,1.0,1
2787,5,163.706,4.74,0.0,0
2868,1,90.63,4.0,0.0,0
3869,1,174.69,4.86,0.0,0
4396,2,221.26999999999998,4.8100000000000005,1.0,1
4506,2,393.42999999999995,4.86,0.0,0
5146,1,628.0,5.0,1.0,1
6041,1,174.69,4.93,0.0,0
7355,1,174.69,5.0,0.0,0
7450,1,357.0,4.98,1.0,1
7500,1,145.83,4.64,0.0,0
8067,2,174.69,4.885,0.0,0
8198,1,174.69,4.71,0.0,0
8605,1,165.93,4.5,0.0,0
10496,1,170.37,4.86,0.0,0
11175,1,174.69,4.5,0.0,0
11481,2,195.98000000000002,4.73,0.0,0
14751,1,208.3,5.0,0.0,0
15523,2,57.144999999999996,4.8149999999999995,0.0,0
15574,1,70.52,5.0,0.0,0
15991,1,117.27,4.6,1.0,1
16104,2,71.005,5.0,0.0,0
16800,1,77.17,4.88,1.0,1
17571,2,188.57999999999998,4.9,1.0,1
17985,2,109.805,4.805,0.0,0
18282,1,174.69,5.0,0.0,0
20549,1,88.21,4.94,1.0,1
21207,1,365.97,4.92,1.0,1
21475,1,166.39,4.89,0.0,0
22323,1,174.69,5.0,0.0,0
22462,1,107.4,4.79,0.0,0
23410,1,165.5,4.85,1.0,1
23684,1,174.69,4.92,0.0,0
24000,1,209.0,4.94,1.0,1
24668,1,491.31,5.0,0.0,0
25100,1,174.69,4.64,0.0,0
25137,1,174.69,5.0,0.0,0
25183,2,176.575,4.744999999999999,0.0,0
25632,1,174.69,5.0,0.0,0
26871,1,211.5,4.81,0.0,0
27892,1,146.42,4.64,1.0,1
29096,1,102.33,4.88,0.0,0
30193,1,148.04,4.52,0.0,0
31378,1,174.69,4.86,0.0,0
32212,2,192.665,4.92,1.0,1
32613,1,174.69,4.67,0.0,0
33188,2,238.76,4.835,1.0,1
35935,6,111.35166666666667,4.816666666666666,1.0,1
36641,4,102.76,4.905,1.0,1
39260,1,153.84,4.77,1.0,1
39827,1,184.06,4.83,0.0,0
40275,1,261.16,5.0,0.0,0
40755,1,309.73,4.86,0.0,0
42032,1,85.64,4.69,0.0,0
