host_id,listings_count,avg_price,avg_rating,superhost_ratio,cluster_id
1169,1,348.5,4.89,1.0,0
2766,1,252.29,4.92,0.0,1
3874,1,472.5,5.0,0.0,1
8904,1,335.57,4.87,0.0,1
10135,4,193.0725,4.775,1.0,0
10569,1,103.67,5.0,0.0,1
13116,1,252.29,4.86,0.0,1
16382,2,167.53,5.0,1.0,0
18431,1,252.29,4.94,1.0,0
21994,22,66.90454545454546,4.646818181818182,1.0,0
22402,2,82.91499999999999,4.835,1.0,0
24215,1,492.53,4.86,0.0,1
24910,1,230.45,4.86,1.0,0
26383,1,1540.67,4.96,1.0,0
26500,1,321.53,5.0,0.0,1
26860,1,102.0,4.6,0.0,1
26952,2,67.48,4.675,0.0,1
27439,1,252.29,4.92,0.0,1
30250,1,198.0,4.84,1.0,0
36752,3,149.53666666666666,4.993333333333333,1.0,0
38648,1,185.3,4.84,1.0,0
38836,16,226.168125,4.5225,0.0,1
40148,2,316.665,4.675,0.0,1
42412,1,74.25,4.92,0.0,1
42681,1,105.93,4.78,1.0,0
43146,1,210.0,4.5,1.0,0
43806,4,63.91,4.73,1.0,0
44927,1,1319.67,5.0,0.0,1
51003,1,252.29,5.0,0.0,1
52862,2,129.435,4.96,0.0,1
54299,1,197.07,4.97,1.0,0
58930,4,211.14499999999998,4.8975,0.0,1
63130,2,347.905,4.965,1.0,0
64028,1,438.57,4.93,0.0,1
69821,1,235.36,5.0,0.0,1
70224,1,111.33,4.84,1.0,0
71975,8,373.03625,4.83,1.0,0
72464,1,160.0,4.89,0.0,1
75978,2,281.005,4.970000000000001,1.0,0
78610,1,257.53,4.85,1.0,0
81455,1,211.29,4.88,0.0,1
82904,1,605.0,4.43,0.0,1
85132,15,422.5,4.8853333333333335,0.0,1
92844,1,162.05,4.98,1.0,0
93873,1,250.0,4.78,1.0,0
95397,1,366.4,5.0,0.0,1
96117,2,216.31,4.875,0.0,1
96655,2,158.255,4.745,0.0,1
96951,1,28.38,4.92,0.0,1
98733,1,252.29,4.84,1.0,0
99128,2,247.11,4.91,1.0,0
100280,1,249.03,5.0,0.0,1
