feature,importance,importance_std
room_type_Private Room,0.6049386277253171,0.024252283192085507
beds,0.34126115908509386,0.004713993982022078
bedrooms,0.2850104916224432,0.017119651055083517
desc_len,0.250524395816513,0.001019805354242162
number_of_reviews,0.20966483254809412,0.007001303044894407
name_len,0.12599233740009788,0.00586944980927007
review_scores_rating,0.1175612096293361,0.0026761656070239163
host_is_superhost,0.05638262144840944,0.0010248064955221518
room_type_Hotel Room,0.024507838662919907,0.002290098668856987
room_type_Shared Room,0.00033302170041064433,3.218823129040998e-05
