feature,importance,importance_std
beds,0.4338930674901856,0.000701291517724744
desc_len,0.3112586338963253,0.010181993842235287
room_type_Private Room,0.31036612210618475,0.002820097468756476
number_of_reviews,0.30591550316656785,0.0022613453361060446
bedrooms,0.23048745580618504,0.004436484672510091
name_len,0.21963210971213984,0.008524528264572354
review_scores_rating,0.19249670954696896,0.002409305407780608
host_is_superhost,0.05654608330707955,0.005228890805679792
room_type_Hotel Room,0.010779573928541342,0.0005195604447313904
room_type_Shared Room,0.004911954560244625,0.00017976223624627385
